Ano,Presunto_Responsable,Latitud,Longitud,Total_de_Victimas_del_Caso
2005,GUERRILLA,1.613634284,-73.0342639,1
2005,GUERRILLA,1.613634284,-73.0342639,1
2005,GUERRILLA,1.613634284,-73.0342639,1
2007,GUERRILLA,1.613634284,-73.0342639,1
2009,GUERRILLA,1.613634284,-73.0342639,1
2009,GUERRILLA,1.613634284,-73.0342639,1
2009,GUERRILLA,1.613634284,-73.0342639,1
2009,GUERRILLA,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2014,GUERRILLA,1.613634284,-73.0342639,1
2015,GUERRILLA,1.613634284,-73.0342639,1
2015,GUERRILLA,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2008,GUERRILLA,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2005,DESCONOCIDO,1.613634284,-73.0342639,1
2012,GUERRILLA,1.960982,-72.655197,1
2004,AGENTE DEL ESTADO,2.484286091,-71.919169926,2
2005,GRUPO ARMADO NO IDENTIFICADO,2.484286091,-71.919169926,1
2005,GRUPO ARMADO NO IDENTIFICADO,2.484286091,-71.919169926,1
2005,GRUPO ARMADO NO IDENTIFICADO,2.484286091,-71.919169926,1
2005,GRUPO ARMADO NO IDENTIFICADO,2.484286091,-71.919169926,1
2005,GRUPO ARMADO NO IDENTIFICADO,2.484286091,-71.919169926,1
2005,GUERRILLA,2.484286091,-71.919169926,1
2005,GUERRILLA,2.484286091,-71.919169926,1
1999,GUERRILLA,2.484286091,-71.919169926,2
2000,GRUPO ARMADO NO IDENTIFICADO,2.484286091,-71.919169926,1
2000,GUERRILLA,2.484286091,-71.919169926,1
2001,GUERRILLA,2.484286091,-71.919169926,1
2001,GUERRILLA,2.484286091,-71.919169926,1
2001,GUERRILLA,2.484286091,-71.919169926,1
2001,GUERRILLA,2.484286091,-71.919169926,1
2002,GUERRILLA,2.484286091,-71.919169926,1
2002,GUERRILLA,2.484286091,-71.919169926,1
2002,GUERRILLA,2.484286091,-71.919169926,1
2002,GUERRILLA,2.484286091,-71.919169926,1
2003,GRUPO PARAMILITAR,2.484286091,-71.919169926,1
2004,GUERRILLA,2.484286091,-71.919169926,1
2004,GRUPO PARAMILITAR,2.484286091,-71.919169926,1
2004,GUERRILLA,2.484286091,-71.919169926,1
2004,GRUPO PARAMILITAR,2.484286091,-71.919169926,1
